Partners,Sponsors,Exhibitors
Pampanga Provincial Board,Savers Group Holdings Inc.,bcmm
Angeles City,GCash,Best Western Plus Hotel Subic
"Experience, Live, Love Angeles",Department of Tourism,Best Western Plus Metro Clark
clArk,Central Luzon,Cactus Jack Smokehouse
Clark Development Corporation,Clark International Airport Corporation,Cafe Sebastian
Department of Trade & Industry,Maki Mura Ramen Bar,Camel
DOST Pampanga,Crabs n Crack Seafood House,Tiandy
La Germania,PLDT Enterprise,Triple LMG Trading
Peotraco Food Inc.,Romac Services & Trading Company Inc.,Century Pacific Food Solutions - Elevate Enterprises Inc.
Fly Ace Food Service,AF Ventures Inc.,Polland
Uni-Fab Metal Industries,ADM Catering,Condura
Dona Elena,Esme Restaurant,Whirlpool
Global Pacific,Asuncion's Private Dining,Viktor Brew + Bar
Kraft Heinz,,Dayap Philippines
DLA Naturals,,Sundae Bar By Echo Treats
masflex Cookware & Kitchenware,,Mekeni
Sundae Bar by Echo Treats,,Dara Consulting
eastwest ageas insurance,,Consistent Frozen Solutions
Cohrep,,Angeles City
NU Clark,,Migoy's Burger
City College of Angeles,,Isabel Frozen Products
Holy Angel University Pampanga,,Hapag Scan Order Pay
FEU Pampanga,,Casa Esmeralda
Etcor Educational Research Center,,Metrobank
Pampanga Business Circle,,Gud is better
PCCI Tarlac,,Hannah Marielle's Bakes & Cakes
Metro Angeles Chamber of Commercial & Industry Inc.,,Trisco Foods
BNI Central Luzon 1,,Venezia
Wedding Suppliers Association of the Philippines,,Switch Ecomobility
Central Luzon Media Association Pampanga Chapter,,WiiArts
CLTV 36,,Home Kitchen
Reaching Beyond Channels,,Jack's Pool Bar
RW 95.1 FM,,Luka's Butter Steaks
Pampanga Press Club,,Maki Mura
JPG Exhibition Booth Rentals,,1st Mega Saver
,,Namari Japanese Bistro
,,Makuru Japanese Wraps & Rolls
,,Monaco
,,Spencers Fusion
,,Caution Coffee
,,Prime Pacific Foods Corporation
,,Legend Hong Kong Seafood Restaurant
,,pyc Foods Corporation
,,LG
,,Seachamp
,,Liway Enterprises Inc.
,,smart living
,,Kasuko
,,Savers Industrial & Building Solutions
,,Savers Group Holdings Inc.
,,Sunshine Clean Greens
,,Farm to Table
,,Asuncion's
,,AF Ventures Inc.
,,ADM Catering
,,Esme
,,Fortune Tea House
,,Tecnogas Technik
,,Allie Steel Premium Metal Cabinet
,,BNI Central Luzon 1
,,Elektro Kuche
,,Fujidenzo
,,JDNB Enterprise Corporation
,,Lugaw ni Bossing
,,American Ribs & Wings
,,kape kaia
,,cloud9
,,92 parameters
,,leaf & bean slow bar
,,Ceremo
,,Lilim
,,Artisanos Specialty Coffee & Matcha
,,hakone Matcha + Mochi
,,kismet
,,kokorobi
,,matchabaa
,,Slow Sunday
,,Whisk & Sip
,,Silung Coffee
,,M2
